,iter,val_loss,train_loss
0,0,4.311175346374512,4.320219993591309
1,300,2.549570083618164,2.5628209114074707
2,600,2.41750431060791,2.4144139289855957
3,900,2.3431246280670166,2.3368940353393555
4,1200,2.2946906089782715,2.2697434425354004
5,1500,2.2446389198303223,2.236370801925659
6,1800,2.2267143726348877,2.198166608810425
7,2100,2.1958260536193848,2.177189588546753
8,2400,2.1812479496002197,2.1578965187072754
9,2700,2.1703453063964844,2.138146162033081
10,3000,2.1565074920654297,2.1058430671691895
11,3300,2.1290698051452637,2.097294807434082
12,3600,2.1307175159454346,2.093508005142212
13,3900,2.110656261444092,2.0734505653381348
14,4200,2.1194615364074707,2.067150831222534
15,4500,2.1111578941345215,2.0504508018493652
16,4800,2.0912375450134277,2.045346975326538
